,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_Macro F1,split1_test_Macro F1,split2_test_Macro F1,split3_test_Macro F1,split4_test_Macro F1,mean_test_Macro F1,std_test_Macro F1,rank_test_Macro F1,split0_test_Deceased macro F1,split1_test_Deceased macro F1,split2_test_Deceased macro F1,split3_test_Deceased macro F1,split4_test_Deceased macro F1,mean_test_Deceased macro F1,std_test_Deceased macro F1,rank_test_Deceased macro F1,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy
0,0.10093059539794921,0.002336866348441826,0.012522506713867187,0.00029237652098536954,gini,100,2,50,"{'criterion': 'gini', 'max_depth': 100, 'min_samples_split': 2, 'n_estimators': 50}",0.748277417027417,0.7781636098534265,0.7821251996164199,0.8086808870294812,0.754537395208913,0.7743569017471316,0.021568151551395326,20,0.6298701298701298,0.6927710843373494,0.694267515923567,0.7339449541284404,0.6626865671641792,0.6827080502847331,0.034793136782346544,16,0.7494780793319415,0.7766179540709812,0.7824267782426778,0.8075313807531381,0.7531380753138075,0.7738384535425092,0.021159545263801104,20
1,0.20401597023010254,0.01049773453183531,0.021954107284545898,0.001100917386653515,gini,100,2,100,"{'criterion': 'gini', 'max_depth': 100, 'min_samples_split': 2, 'n_estimators': 100}",0.7533252228832259,0.7778301213726069,0.7837557545357047,0.8066885450851694,0.7416964550554378,0.7726592197864289,0.022979828210772563,21,0.6287625418060201,0.6930091185410334,0.6900958466453675,0.721518987341772,0.6382978723404256,0.6743368733349238,0.035210734584724165,21,0.755741127348643,0.7766179540709812,0.7845188284518828,0.8075313807531381,0.7405857740585774,0.7729990129366445,0.023180767808628416,21
2,0.09339685440063476,0.0020882305434983804,0.011944437026977539,0.0002518712638536221,gini,100,10,50,"{'criterion': 'gini', 'max_depth': 100, 'min_samples_split': 10, 'n_estimators': 50}",0.7633858345131351,0.7920138696766816,0.7817586497806702,0.8110752061198722,0.7641451035152267,0.7824757327211171,0.01794355775139167,12,0.6538461538461539,0.7090909090909091,0.6774193548387096,0.7232704402515723,0.6687116564417178,0.6864677028938126,0.025797543239869273,10,0.7640918580375783,0.791231732776618,0.7845188284518828,0.8117154811715481,0.7635983263598326,0.7830312453594919,0.018047631503516688,14
3,0.18851118087768554,0.0008927080900118202,0.0208132266998291,0.0006759706690915359,gini,100,10,100,"{'criterion': 'gini', 'max_depth': 100, 'min_samples_split': 10, 'n_estimators': 100}",0.7610019419526566,0.789759604149115,0.7892168329320032,0.8121709875321592,0.7560809025575989,0.7816460538247065,0.02066240202541021,15,0.6495176848874598,0.7051671732522796,0.68,0.7300613496932515,0.6626506024096386,0.685479362048526,0.029050237285415698,12,0.7620041753653445,0.7891440501043842,0.7928870292887029,0.8117154811715481,0.7552301255230126,0.7821961722905983,0.020827104668576582,15
4,0.09229803085327148,0.0006663229189458024,0.012464141845703125,0.00042316530970000287,gini,100,20,50,"{'criterion': 'gini', 'max_depth': 100, 'min_samples_split': 20, 'n_estimators': 50}",0.7737675403290546,0.7891443043285685,0.7781200588658702,0.8254937661726361,0.7699300118137281,0.7872911363019716,0.020155793775705012,7,0.6623376623376623,0.7055214723926381,0.6644518272425249,0.7444794952681387,0.6788990825688073,0.6911379079619542,0.030801304392062086,8,0.7745302713987474,0.7891440501043842,0.7824267782426778,0.8263598326359832,0.7698744769874477,0.7884670818738482,0.020063517921560275,7
5,0.18273630142211914,0.0021567040702099817,0.020523262023925782,0.0006006087297867594,gini,100,20,100,"{'criterion': 'gini', 'max_depth': 100, 'min_samples_split': 20, 'n_estimators': 100}",0.7644189319668907,0.7933554885894161,0.8014276420248289,0.8194595619763837,0.7743609528331751,0.7906045154781389,0.019528746713222137,5,0.6513157894736842,0.709480122324159,0.7046979865771812,0.7375,0.6790123456790124,0.6964012488108072,0.02920298866561342,4,0.7661795407098121,0.7933194154488518,0.805439330543933,0.8200836820083682,0.7740585774058577,0.7918161092233647,0.019796319563555737,5
6,0.1017920970916748,0.002112747838882239,0.012528133392333985,0.0004362735944710404,gini,,2,50,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",0.7410031964441486,0.7695378921019252,0.791584156823029,0.8007328016928895,0.7366981447994106,0.7679112383722806,0.02584030967281753,23,0.6133333333333332,0.6808510638297872,0.6970684039087948,0.7129337539432177,0.620253164556962,0.6648879439144191,0.04061759339168614,24,0.7432150313152401,0.7682672233820459,0.7928870292887029,0.801255230125523,0.7364016736401674,0.7684052375503359,0.025835145751244258,23
7,0.21993985176086425,0.028037197198376874,0.03338379859924316,0.023510981347502985,gini,,2,100,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.7462295697509975,0.7782918701449053,0.7870166765239633,0.8033293244744124,0.7413749196459477,0.7712484721080453,0.023857080403174448,22,0.6295081967213114,0.6966966966966968,0.6885245901639345,0.7210031347962382,0.6292834890965733,0.6730032214949508,0.037173962690223425,22,0.7473903966597077,0.7766179540709812,0.7887029288702929,0.803347280334728,0.7405857740585774,0.7713288667988574,0.023971647361951058,22
8,0.09650802612304688,0.004667687500775128,0.015418672561645507,0.005957446262272885,gini,,10,50,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 10, 'n_estimators': 50}",0.770055210489993,0.7910024660249367,0.7818225337942003,0.8152256910086417,0.7603135313531353,0.7836838865341814,0.018888229039779818,10,0.6533333333333333,0.7076923076923075,0.6666666666666667,0.73125,0.6666666666666667,0.6851217948717949,0.029424238846394554,13,0.7724425887265136,0.791231732776618,0.7866108786610879,0.8158995815899581,0.7594142259414226,0.78511980153912,0.019018213459305683,10
9,0.4067817211151123,0.1994351256419962,0.05491805076599121,0.030594760852954893,gini,,10,100,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}",0.7624172707217145,0.786582767716565,0.7790775989964492,0.8176330962289232,0.764292892290328,0.7820007251907961,0.019981414770872872,14,0.6447368421052632,0.6934984520123839,0.6710097719869708,0.7352024922118381,0.668693009118541,0.6826281134869994,0.03048655768647792,17,0.7640918580375783,0.7870563674321504,0.7824267782426778,0.8179916317991632,0.7635983263598326,0.7830329923742805,0.019875282769926797,13
