,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,param_weights,params,split0_test_Macro F1,split1_test_Macro F1,split2_test_Macro F1,split3_test_Macro F1,split4_test_Macro F1,mean_test_Macro F1,std_test_Macro F1,rank_test_Macro F1,split0_test_Deceased macro F1,split1_test_Deceased macro F1,split2_test_Deceased macro F1,split3_test_Deceased macro F1,split4_test_Deceased macro F1,mean_test_Deceased macro F1,std_test_Deceased macro F1,rank_test_Deceased macro F1,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy
0,0.004114532470703125,0.0025089449109328785,0.02012348175048828,0.00345913379132302,5,1,uniform,"{'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.7532559909530985,0.7540781986209067,0.7727660369429957,0.7819831064638186,0.7363227327693936,0.7596812131500426,0.016042960555076195,20,0.6266666666666666,0.6562500000000001,0.6644736842105262,0.6943620178041543,0.6198083067092652,0.6523121350781225,0.027002931705246244,40,0.755741127348643,0.755741127348643,0.7761506276150628,0.7803347280334728,0.7384937238493724,0.7612922668390388,0.015262962196292997,19
1,0.0030486583709716797,0.0005542880118904188,0.005280160903930664,0.00014776141039747699,5,1,distance,"{'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.7488312606921964,0.7481531079120635,0.7691396974687646,0.7741295071611813,0.7209609416187118,0.7522429029705835,0.01882260311426677,42,0.6174496644295303,0.6606060606060606,0.6687898089171974,0.6863905325443787,0.6217008797653959,0.6509873892525125,0.02700113391585835,41,0.7515657620041754,0.7473903966597077,0.7698744769874477,0.7719665271966527,0.7175732217573222,0.7516740769210611,0.019617686267064782,43
2,0.0027199745178222655,0.0003279214926677528,0.017270660400390624,0.00036451687361282233,5,2,uniform,"{'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.7446023751212976,0.7486146638591592,0.7689078947197338,0.7776141083336171,0.7303592027719882,0.7540196489611591,0.017065016842914168,39,0.62,0.6459627329192547,0.6601307189542484,0.6865671641791045,0.6114649681528662,0.6448251168410947,0.027229175856168786,43,0.7473903966597077,0.7494780793319415,0.7719665271966527,0.7761506276150628,0.7322175732217573,0.7554406408050245,0.016380951820925787,38
3,0.0023797988891601563,8.253204097284647e-05,0.005768775939941406,0.0001538500145834114,5,2,distance,"{'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.7445529263391902,0.7444450832227342,0.7649397120198954,0.7697654901529353,0.7186850262700823,0.7484776476009675,0.018129738573200983,44,0.608695652173913,0.6525679758308157,0.6624203821656051,0.6785714285714286,0.6176470588235293,0.6439804995130584,0.026641234750531657,44,0.7473903966597077,0.7432150313152401,0.7656903765690377,0.7677824267782427,0.7154811715481172,0.7479118805740691,0.01889442644090776,44
4,0.0025054454803466798,0.00013988768788410788,0.017083358764648438,0.00012116191047932078,10,1,uniform,"{'n_neighbors': 10, 'p': 1, 'weights': 'uniform'}",0.7523518080467045,0.754983852612801,0.7669328431090939,0.8194899902008973,0.7605446433634083,0.770860627466581,0.024824626136144567,12,0.6453674121405751,0.6707692307692308,0.6666666666666667,0.7414330218068534,0.6726190476190476,0.6793710758004747,0.0325235850371319,9,0.7536534446764092,0.755741127348643,0.7698744769874477,0.8200836820083682,0.7594142259414226,0.7717533913924581,0.024801624887576947,15
5,0.0026088237762451174,0.00027267650110976996,0.0060975074768066405,0.0003600869006233848,10,1,distance,"{'n_neighbors': 10, 'p': 1, 'weights': 'distance'}",0.74778972520908,0.7625809206792827,0.7633552735688571,0.80247013271085,0.7376209229035459,0.7627633950143231,0.022060658770239452,16,0.6322580645161291,0.688821752265861,0.66875,0.7250755287009064,0.653409090909091,0.6736628872783974,0.031691522407426426,11,0.7494780793319415,0.7620041753653445,0.7635983263598326,0.801255230125523,0.7343096234309623,0.7621290869227207,0.022212608542799092,17
6,0.0028148174285888674,0.0003250713095968337,0.01715574264526367,0.00026868014121460027,10,2,uniform,"{'n_neighbors': 10, 'p': 2, 'weights': 'uniform'}",0.748188668295584,0.7514990552011599,0.7773612248065896,0.8176024360237107,0.762489165996778,0.7714281100647644,0.02523653633465959,11,0.6430868167202572,0.6605504587155964,0.6840390879478827,0.7391304347826085,0.6824925816023739,0.6818598759537438,0.0323805731119033,5,0.7494780793319415,0.7515657620041754,0.7803347280334728,0.8179916317991632,0.7615062761506276,0.7721752954638761,0.0253750171535654,13
7,0.002419567108154297,0.00015882805124520862,0.006278610229492188,0.00021295873132958537,10,2,distance,"{'n_neighbors': 10, 'p': 2, 'weights': 'distance'}",0.7436132113469006,0.7585287085789263,0.7634497230875735,0.7958336651515968,0.7392221033190598,0.7601294822968114,0.019991402404747206,17,0.6298701298701298,0.6787878787878788,0.66875,0.7116564417177913,0.6609686609686609,0.6700066222688921,0.026480256011773014,14,0.7453027139874739,0.7578288100208769,0.7635983263598326,0.7949790794979079,0.7364016736401674,0.7596221207012517,0.02006676496267061,21
8,0.0025302410125732423,0.00022178149890217058,0.017824602127075196,0.0002824438313568839,15,1,uniform,"{'n_neighbors': 15, 'p': 1, 'weights': 'uniform'}",0.7527122905813735,0.7709290744034504,0.757913582135687,0.8073862690024401,0.7701258078087806,0.7718134047863463,0.01911604732109987,10,0.6357615894039735,0.6816720257234726,0.6338028169014084,0.7142857142857143,0.6688102893890675,0.6668664871407273,0.030107428969747708,21,0.755741127348643,0.7745302713987474,0.7656903765690377,0.8096234309623431,0.7719665271966527,0.7755103466950848,0.018245413501991197,10
9,0.002517223358154297,0.00015878340857895063,0.006568813323974609,0.000124882877940271,15,1,distance,"{'n_neighbors': 15, 'p': 1, 'weights': 'distance'}",0.747233591473537,0.7539533550947762,0.7587923315174331,0.7980913053197282,0.7413726409534683,0.7598886448717885,0.01999432724861961,18,0.6298701298701298,0.6747720364741642,0.6582278481012659,0.7155963302752293,0.6609686609686609,0.6678870011378899,0.027964366495196204,16,0.7494780793319415,0.7536534446764092,0.7594142259414226,0.797071129707113,0.7384937238493724,0.7596221207012517,0.01993693716735124,21
